ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	3	2	1	0.000000	655.000000	633.333333	0.000000	0.000000	0	0	0
2	1	2	1	0.000000	686.000000	669.000000	0.000000	0.000000	0	0	0
3	5	2	1	0.000000	661.200000	647.800000	0.000000	0.000000	0	0	0
4	2	2	1	0.000000	659.500000	653.000000	0.000000	0.000000	0	0	0
5	3	2	1	0.000000	658.333333	654.666667	0.000000	0.000000	0	0	0
6	2	2	1	0.000000	733.500000	732.500000	0.000000	0.000000	0	0	0
7	1	2	1	0.000000	728.000000	728.000000	0.000000	0.000000	0	0	0
8	2	2	1	0.000000	703.500000	703.500000	0.000000	0.000000	0	0	0
9	31	1	1	0.000000	1.225806	1.225806	0.000000	0.000000	0	0	0
10	1	1	2	0.000000	546.000000	539.000000	0.000000	0.000000	0	0	0
11	1	1	2	0.000000	546.000000	539.000000	0.000000	0.000000	0	0	0
12	1	1	2	0.000000	557.000000	550.000000	0.000000	0.000000	0	0	0
13	1	1	3	0.000000	553.000000	546.000000	0.000000	0.000000	0	0	0
14	2	1	2	0.000000	482.000000	473.000000	0.000000	0.000000	0	0	0
15	11	1	2	0.000000	290.636364	284.181818	0.000000	0.000000	0	0	0
16	3	1	2	0.000000	230.000000	225.000000	0.000000	0.000000	0	0	0
17	11	2	3	0.000000	222.818182	212.363636	0.000000	0.000000	0	0	0
18	31	1	1	0.000000	256.548387	245.225806	0.000000	0.000000	0	0	0
19	7	1	2	0.000000	458.000000	436.571429	0.000000	0.000000	0	0	0
20	2	1	2	0.000000	5928.000000	2810.500000	0.000000	0.000000	0	0	0
21	1	4	3	0.000000	5828.000000	5567.000000	0.000000	0.000000	0	0	0
22	1	2	2	0.000000	5874.000000	5584.000000	0.000000	0.000000	0	0	0
23	1	7	5	0.000000	5595.000000	5334.000000	0.000000	0.000000	0	0	0
24	1	1	2	0.000000	5397.000000	5131.000000	0.000000	0.000000	0	0	0
25	1	2	3	0.000000	5466.000000	5198.000000	0.000000	0.000000	0	0	0
26	1	2	2	0.000000	5441.000000	5178.000000	0.000000	0.000000	0	0	0
27	1	1	2	0.000000	5605.000000	5344.000000	0.000000	0.000000	0	0	0
28	1	1	3	0.000000	5566.000000	5304.000000	0.000000	0.000000	0	0	0
29	2	1	6	0.000000	5490.000000	5238.000000	0.000000	0.000000	0	0	0
